start,end,sp,id
08/24/2024 06:10:08,08/24/2024 06:36:36,UO,sg679_001
08/24/2024 06:56:03,08/24/2024 07:03:26,UO,sg679_004
08/24/2024 16:34:35,08/24/2024 16:51:04,UO,sg679_006
08/24/2024 17:25:27,08/24/2024 18:03:45,UO,sg679_007
08/24/2024 20:17:05,08/24/2024 20:49:59,Pm,sg679_012
08/24/2024 21:17:06,08/24/2024 21:19:54,UO,sg679_016
08/24/2024 22:05:20,08/24/2024 23:25:19,Pm,sg679_018
08/25/2024 01:36:58,08/25/2024 02:20:36,Pm,sg679_024
08/25/2024 02:52:29,08/25/2024 03:07:16,Pm,sg679_026
08/25/2024 05:01:59,08/25/2024 05:23:53,Pm,sg679_027
08/25/2024 05:39:54,08/25/2024 06:02:59,Pm,sg679_030
08/25/2024 07:07:13,08/25/2024 10:05:59,Pm,sg679_033
08/25/2024 11:12:39,08/25/2024 11:54:08,Pm,sg679_047
08/25/2024 13:02:30,08/25/2024 13:37:24,UO,sg679_054
08/25/2024 13:59:01,08/25/2024 14:30:14,Pm,sg679_058
08/25/2024 14:49:57,08/25/2024 15:25:35,Pm,sg679_063
08/25/2024 16:33:09,08/25/2024 19:26:21,Pm,sg679_065
08/25/2024 20:04:36,08/25/2024 21:08:56,Pm,sg679_075
08/25/2024 21:24:32,08/25/2024 23:00:23,Pm,sg679_078
08/26/2024 00:36:31,08/26/2024 02:49:51,UO,sg679_087
08/26/2024 04:02:51,08/26/2024 04:07:48,Pm,sg679_104
08/26/2024 04:33:29,08/26/2024 05:33:46,UO,sg679_105
08/26/2024 05:48:59,08/26/2024 09:00:54,UO,sg679_107
08/26/2024 09:30:01,08/26/2024 09:37:55,Pm,sg679_117
08/26/2024 10:08:01,08/26/2024 11:29:34,Pm,sg679_118
08/26/2024 11:45:00,08/26/2024 12:07:24,Pm,sg679_120
08/26/2024 13:00:02,08/26/2024 14:23:58,Pm,sg679_123
08/26/2024 15:05:23,08/26/2024 16:43:43,Pm,sg679_126
08/26/2024 17:03:04,08/26/2024 18:59:19,Pm,sg679_136
08/26/2024 20:22:01,08/26/2024 20:44:44,Pm,sg679_138
08/26/2024 21:39:58,08/26/2024 23:02:52,Pm,sg679_141
08/27/2024 00:49:56,08/27/2024 02:32:20,Pm,sg679_152
08/27/2024 04:03:57,08/27/2024 05:23:42,UO,sg679_158
08/27/2024 06:44:55,08/27/2024 07:53:02,UO,sg679_160
08/27/2024 11:27:20,08/27/2024 12:15:47,UO,sg679_162
08/28/2024 01:42:40,08/28/2024 01:47:13,UO,sg679_163
08/28/2024 08:19:49,08/28/2024 08:37:36,UO,sg679_164
08/28/2024 08:59:00,08/28/2024 10:05:17,UO,sg679_166
08/28/2024 13:56:37,08/28/2024 14:59:34,UO,sg679_169
08/28/2024 15:24:21,08/28/2024 15:30:19,UO,sg679_170
08/28/2024 19:08:45,08/28/2024 20:30:34,UO,sg679_173
08/29/2024 02:16:07,08/29/2024 02:21:34,UO,sg679_175
08/29/2024 04:10:50,08/29/2024 04:20:20,UO,sg679_176
08/29/2024 05:04:05,08/29/2024 05:49:34,UO,sg679_177
08/29/2024 06:05:17,08/29/2024 07:57:27,UO,sg679_180
08/29/2024 08:23:08,08/29/2024 09:42:43,UO,sg679_182
08/29/2024 10:15:59,08/29/2024 10:53:07,UO,sg679_186
08/29/2024 11:41:10,08/29/2024 13:08:24,UO,sg679_188
08/29/2024 14:47:26,08/29/2024 15:24:52,UO,sg679_190
08/29/2024 15:49:37,08/29/2024 16:50:26,UO,sg679_192
08/30/2024 03:18:52,08/30/2024 12:44:41,UO,sg679_194
08/30/2024 13:00:27,08/30/2024 15:21:41,UO,sg679_197
08/30/2024 16:45:30,08/30/2024 16:51:54,UO,sg679_199
08/30/2024 18:47:57,08/30/2024 20:30:06,UO,sg679_200
08/30/2024 21:29:56,08/30/2024 22:42:02,UO,sg679_203
08/31/2024 00:52:17,08/31/2024 04:03:50,UO,sg679_205
08/31/2024 04:33:35,08/31/2024 09:01:20,UO,sg679_210
08/31/2024 10:20:19,08/31/2024 14:45:30,UO,sg679_212
08/31/2024 15:58:16,08/31/2024 19:53:06,UO,sg679_215
08/31/2024 20:55:23,08/31/2024 21:19:15,UO,sg679_217
08/31/2024 21:37:43,09/01/2024 00:58:18,UO,sg679_218
09/01/2024 01:14:43,09/01/2024 01:21:06,UO,sg679_220
09/01/2024 01:52:23,09/01/2024 12:56:14,UO,sg679_221
09/01/2024 13:57:56,09/01/2024 14:19:50,UO,sg679_226
09/01/2024 16:55:29,09/02/2024 13:46:52,UO,sg679_227
09/02/2024 19:33:47,09/02/2024 19:37:20,Pm,sg679_238
09/02/2024 21:32:49,09/02/2024 22:13:07,Pm,sg679_239
09/02/2024 22:28:18,09/02/2024 22:46:14,Pm,sg679_240
09/02/2024 23:24:26,09/03/2024 01:03:56,Pm,sg679_241
09/03/2024 02:33:04,09/03/2024 06:35:17,UO,sg679_242
09/03/2024 07:08:27,09/03/2024 10:32:01,UO,sg679_245
09/03/2024 11:10:01,09/03/2024 11:38:09,UO,sg679_248
09/03/2024 11:59:53,09/03/2024 15:24:05,UO,sg679_250
09/03/2024 16:49:13,09/03/2024 17:56:44,UO,sg679_252
09/03/2024 18:24:28,09/03/2024 18:49:07,Pm,sg679_253
09/03/2024 19:33:02,09/03/2024 20:01:19,Pm,sg679_255
09/03/2024 20:38:42,09/03/2024 20:39:53,Pm,sg679_257
09/03/2024 21:48:56,09/03/2024 21:58:04,Pm,sg679_258
09/03/2024 22:16:48,09/04/2024 00:25:28,UO,sg679_259
09/04/2024 03:11:50,09/04/2024 03:20:19,UO,sg679_262
09/04/2024 04:24:29,09/04/2024 07:41:17,UO,sg679_263
