start,end,sp,id
09/15/2024 05:25:59,09/15/2024 05:47:30,UO,sg680_001
09/15/2024 08:59:01,09/15/2024 09:35:09,UO,sg680_003
09/15/2024 10:37:02,09/15/2024 11:01:29,UO,sg680_005
09/15/2024 11:43:43,09/15/2024 13:12:41,UO,sg680_007
09/15/2024 23:11:08,09/16/2024 00:00:07,UO,sg680_011
09/16/2024 02:28:22,09/16/2024 05:26:09,Pm,sg680_014
09/16/2024 06:02:53,09/16/2024 06:05:28,Pm,sg680_021
09/16/2024 11:15:28,09/16/2024 11:57:13,UO,sg680_023
09/17/2024 02:57:54,09/17/2024 03:36:45,UO,sg680_025
09/17/2024 07:31:54,09/17/2024 07:51:34,Pm,sg680_026
09/17/2024 08:14:41,09/17/2024 08:40:08,Pm,sg680_027
09/17/2024 10:27:40,09/17/2024 10:44:26,UO,sg680_028
09/17/2024 13:44:27,09/17/2024 14:19:07,Pm,sg680_030
09/17/2024 15:25:32,09/17/2024 16:07:53,Pm,sg680_032
09/18/2024 01:48:21,09/18/2024 02:18:10,UO,sg680_035
09/18/2024 02:45:49,09/18/2024 04:54:48,UO,sg680_036
09/18/2024 05:53:30,09/18/2024 06:12:39,UO,sg680_039
09/18/2024 07:07:38,09/18/2024 07:12:55,UO,sg680_041
09/18/2024 09:50:17,09/18/2024 10:01:50,UO,sg680_042
09/18/2024 16:33:49,09/18/2024 17:02:07,UO,sg680_043
09/18/2024 17:30:59,09/18/2024 20:03:10,UO,sg680_044
09/18/2024 20:52:26,09/18/2024 21:02:21,UO,sg680_047
09/18/2024 21:18:01,09/18/2024 21:18:51,UO,sg680_048
09/18/2024 22:47:05,09/18/2024 23:01:24,UO,sg680_049
09/19/2024 00:29:03,09/19/2024 00:29:38,UO,sg680_051
09/19/2024 02:15:31,09/19/2024 02:22:22,UO,sg680_052
09/19/2024 04:08:57,09/19/2024 04:50:55,Other,sg680_054
09/19/2024 05:38:56,09/19/2024 05:41:37,Other,sg680_055
09/19/2024 06:50:53,09/19/2024 08:10:35,UO,sg680_057
09/19/2024 09:09:14,09/19/2024 10:13:40,UO,sg680_059
09/19/2024 10:56:30,09/19/2024 12:39:37,UO,sg680_063
09/19/2024 12:56:19,09/19/2024 14:28:47,Pm,sg680_067
09/19/2024 14:56:55,09/19/2024 15:09:36,Pm,sg680_070
