start,end,sp,id
09/15/2024 05:27:21,09/15/2024 05:30:57,UO,sg639_001
09/15/2024 09:27:38,09/15/2024 10:10:25,UO,sg639_002
09/15/2024 10:59:01,09/15/2024 11:50:50,UO,sg639_005
09/15/2024 12:21:41,09/15/2024 12:24:07,UO,sg639_007
09/15/2024 12:47:51,09/15/2024 12:53:08,UO,sg639_009
09/15/2024 22:59:06,09/15/2024 23:13:55,UO,sg639_010
09/16/2024 06:49:35,09/16/2024 07:09:45,UO,sg639_011
09/16/2024 07:37:02,09/16/2024 08:04:04,UO,sg639_012
09/16/2024 20:57:25,09/16/2024 21:09:52,UO,sg639_013
09/17/2024 12:38:49,09/17/2024 13:22:37,UO,sg639_014
09/18/2024 01:48:10,09/18/2024 02:34:27,UO,sg639_015
09/18/2024 02:55:10,09/18/2024 03:14:58,UO,sg639_018
09/18/2024 03:31:10,09/18/2024 05:34:24,UO,sg639_020
09/18/2024 05:52:49,09/18/2024 13:36:39,UO,sg639_021
09/18/2024 15:03:23,09/18/2024 21:30:16,UO,sg639_029
09/18/2024 23:26:05,09/19/2024 00:15:05,UO,sg639_032
09/19/2024 02:03:17,09/19/2024 02:12:08,Pm,sg639_033
09/19/2024 02:03:17,09/19/2024 02:34:46,UO,sg639_034
09/19/2024 02:44:58,09/19/2024 04:06:22,Pm,sg639_035
09/19/2024 03:24:24,09/19/2024 12:20:46,UO,sg639_036
09/19/2024 04:30:37,09/19/2024 04:37:54,Pm,sg639_041
09/19/2024 04:58:40,09/19/2024 05:17:19,Pm,sg639_043
09/19/2024 05:47:26,09/19/2024 05:47:56,Pm,sg639_047
09/19/2024 07:48:50,09/19/2024 07:50:25,Pm,sg639_050
09/19/2024 08:48:57,09/19/2024 09:19:01,Pm,sg639_052
09/19/2024 13:24:41,09/19/2024 13:24:41,UO,sg639_058
09/19/2024 14:28:09,09/19/2024 14:38:23,UO,sg639_059
09/19/2024 15:01:08,09/19/2024 22:10:12,UO,sg639_060
09/19/2024 22:15:46,09/19/2024 22:26:32,Gg?,sg639_066
09/19/2024 22:28:23,09/19/2024 23:27:01,UO,sg639_067
09/20/2024 04:56:07,09/20/2024 06:20:22,UO,sg639_068
09/20/2024 07:00:32,09/20/2024 08:53:19,UO,sg639_072
09/20/2024 12:21:43,09/20/2024 13:13:19,UO,sg639_074
09/21/2024 00:25:59,09/21/2024 00:50:51,UBW,sg639_076
09/21/2024 01:06:43,09/21/2024 01:07:54,Gg/Lo,sg639_077
09/21/2024 01:49:00,09/21/2024 02:06:13,UO,sg639_078
09/21/2024 02:50:30,09/21/2024 03:48:40,UO,sg639_079
09/21/2024 04:16:50,09/21/2024 04:18:21,UO,sg639_080
09/21/2024 05:01:46,09/21/2024 05:39:34,UO,sg639_081
09/21/2024 05:57:29,09/21/2024 06:49:07,UO,sg639_082
09/21/2024 07:36:36,09/21/2024 09:53:28,UO,sg639_083
09/21/2024 10:44:07,09/21/2024 14:44:24,UO,sg639_084
09/22/2024 01:25:38,09/22/2024 02:02:28,UO,sg639_086
09/22/2024 03:27:44,09/22/2024 04:20:19,UO,sg639_087
09/22/2024 08:44:55,09/22/2024 14:36:35,UO,sg639_088
09/22/2024 23:17:48,09/22/2024 23:23:37,UO,sg639_094
09/23/2024 03:02:34,09/23/2024 05:51:48,UO,sg639_095
09/23/2024 06:16:18,09/23/2024 07:42:31,UO,sg639_097
09/23/2024 12:02:56,09/23/2024 12:38:40,UO,sg639_098
09/23/2024 13:17:56,09/23/2024 14:16:32,UO,sg639_099
09/23/2024 14:32:17,09/23/2024 17:02:14,UO,sg639_100
09/24/2024 03:11:57,09/24/2024 10:15:02,UO,sg639_106
09/24/2024 10:44:07,09/24/2024 13:22:38,UO,sg639_114
09/24/2024 16:43:26,09/24/2024 16:54:36,UO,sg639_116
09/25/2024 02:44:42,09/25/2024 10:06:54,UO,sg639_117
09/25/2024 10:23:30,09/25/2024 12:39:42,UO,sg639_122
09/25/2024 13:00:05,09/25/2024 13:18:13,UO,sg639_123
09/25/2024 21:31:13,09/25/2024 22:16:41,UO,sg639_124
09/25/2024 22:41:07,09/25/2024 23:08:39,UO,sg639_128
09/25/2024 23:32:35,09/26/2024 01:49:48,UO,sg639_129
09/26/2024 03:39:26,09/26/2024 04:48:40,UO,sg639_130
09/26/2024 05:04:34,09/26/2024 11:29:24,UO,sg639_131
09/26/2024 11:44:29,09/26/2024 13:22:31,UO,sg639_134
