dive,time_UTC,dateTime_UTC,latitude,longitude,label
1,739487.746678241,23-Aug-2024 17:55:13,44.6431666666667,-124.7849,start
1,739487.761469907,23-Aug-2024 18:16:31,44.64185,-124.78555,stop
2,739487.77931713,23-Aug-2024 18:42:13,44.6393666666667,-124.78365,start
2,739487.802002315,23-Aug-2024 19:14:53,44.6382,-124.786933333333,stop
3,739487.819143519,23-Aug-2024 19:39:34,44.63675,-124.787366666667,start
3,739487.860219907,23-Aug-2024 20:38:43,44.6375833333333,-124.793266666667,stop
4,739487.871435185,23-Aug-2024 20:54:52,44.6379,-124.79365,start
4,739487.919398148,23-Aug-2024 22:03:56,44.6358833333333,-124.803483333333,stop
5,739487.923449074,23-Aug-2024 22:09:46,44.63585,-124.8039,start
5,739487.923449074,23-Aug-2024 22:09:46,44.63585,-124.8039,stop
6,739487.972928241,23-Aug-2024 23:21:01,44.63255,-124.8125,start
6,739488.028611111,24-Aug-2024 00:41:12,44.63095,-124.824483333333,stop
7,739488.028611111,24-Aug-2024 00:41:12,44.63095,-124.824483333333,start
7,739488.088715278,24-Aug-2024 02:07:45,44.6262,-124.840166666667,stop
8,739488.093425926,24-Aug-2024 02:14:32,44.6256666666667,-124.839866666667,start
8,739488.150532407,24-Aug-2024 03:36:46,44.6233,-124.855666666667,stop
9,739488.153229167,24-Aug-2024 03:40:39,44.6227666666667,-124.855816666667,start
9,739488.221898148,24-Aug-2024 05:19:32,44.6237166666667,-124.87285,stop
10,739488.226284722,24-Aug-2024 05:25:51,44.62335,-124.87365,start
10,739488.316168981,24-Aug-2024 07:35:17,44.6261166666667,-124.8975,stop
11,739488.316168981,24-Aug-2024 07:35:17,44.6261166666667,-124.8975,start
11,739488.321585648,24-Aug-2024 07:43:05,44.6253166666667,-124.892866666667,stop
12,739488.416053241,24-Aug-2024 09:59:07,44.6277166666667,-124.914133333333,start
12,739488.524525463,24-Aug-2024 12:35:19,44.63795,-124.930316666667,stop
13,739488.524525463,24-Aug-2024 12:35:19,44.63795,-124.930316666667,start
13,739488.651087963,24-Aug-2024 15:37:34,44.6346833333333,-124.948366666667,stop
14,739488.651087963,24-Aug-2024 15:37:34,44.6346833333333,-124.948366666667,start
14,739488.773425926,24-Aug-2024 18:33:44,44.6252666666667,-124.972566666667,stop
15,739488.773425926,24-Aug-2024 18:33:44,44.6252666666667,-124.972566666667,start
15,739488.773425926,24-Aug-2024 18:33:44,44.6252666666667,-124.972566666667,stop
16,739488.910486111,24-Aug-2024 21:51:06,44.6237666666667,-124.988316666667,start
16,739488.910486111,24-Aug-2024 21:51:06,44.6237666666667,-124.988316666667,stop
17,739489.032719907,25-Aug-2024 00:47:07,44.6333333333333,-125.017983333333,start
17,739489.155092593,25-Aug-2024 03:43:20,44.6215333333333,-125.042416666667,stop
18,739489.167939815,25-Aug-2024 04:01:50,44.6191,-125.044433333333,start
18,739489.298969907,25-Aug-2024 07:10:31,44.6157166666667,-125.082866666667,stop
19,739489.311770833,25-Aug-2024 07:28:57,44.6187166666667,-125.086716666667,start
19,739489.442476852,25-Aug-2024 10:37:10,44.62055,-125.112733333333,stop
20,739489.446261574,25-Aug-2024 10:42:37,44.6217666666667,-125.113016666667,start
20,739489.572858796,25-Aug-2024 13:44:55,44.6127666666667,-125.120783333333,stop
21,739489.580659722,25-Aug-2024 13:56:09,44.6138,-125.121116666667,start
21,739489.681261574,25-Aug-2024 16:21:01,44.6092833333333,-125.137133333333,stop
22,739489.683923611,25-Aug-2024 16:24:51,44.6096166666667,-125.137516666667,start
22,739489.683923611,25-Aug-2024 16:24:51,44.6096166666667,-125.137516666667,stop
23,739489.834826389,25-Aug-2024 20:02:09,44.6090833333333,-125.172483333333,start
23,739489.962650463,25-Aug-2024 23:06:13,44.6195,-125.200266666667,stop
24,739489.962650463,25-Aug-2024 23:06:13,44.6195,-125.200266666667,start
24,739490.123263889,26-Aug-2024 02:57:30,44.6003,-125.21525,stop
25,739490.165416667,26-Aug-2024 03:58:12,44.5966166666667,-125.227683333333,start
25,739490.385798611,26-Aug-2024 09:15:33,44.5953333333333,-125.295666666667,stop
26,739490.394305555,26-Aug-2024 09:27:48,44.5990166666667,-125.297566666667,start
26,739490.61775463,26-Aug-2024 14:49:34,44.6008166666667,-125.361966666667,stop
27,739490.625717593,26-Aug-2024 15:01:02,44.6004166666667,-125.3636,start
27,739490.807766204,26-Aug-2024 19:23:11,44.5854833333333,-125.414333333333,stop
28,739490.811736111,26-Aug-2024 19:28:54,44.5857666666667,-125.41595,start
28,739490.993344907,26-Aug-2024 23:50:25,44.55755,-125.442016666667,stop
29,739490.998715278,26-Aug-2024 23:58:09,44.5566666666667,-125.442166666667,start
29,739491.154386574,27-Aug-2024 03:42:19,44.52415,-125.466616666667,stop
30,739491.158275463,27-Aug-2024 03:47:55,44.5228166666667,-125.466316666667,start
30,739491.31400463,27-Aug-2024 07:32:10,44.4849666666667,-125.48695,stop
31,739491.319351852,27-Aug-2024 07:39:52,44.4821833333333,-125.48625,start
31,739491.535428241,27-Aug-2024 12:51:01,44.4626666666667,-125.52585,stop
32,739491.539490741,27-Aug-2024 12:56:52,44.4609166666667,-125.525533333333,start
32,739491.753553241,27-Aug-2024 18:05:07,44.4418333333333,-125.567483333333,stop
33,739491.759039352,27-Aug-2024 18:13:01,44.4404833333333,-125.5678,start
33,739491.975405093,27-Aug-2024 23:24:35,44.4234833333333,-125.60255,stop
34,739491.979664352,27-Aug-2024 23:30:43,44.4222166666667,-125.6018,start
34,739492.196006944,28-Aug-2024 04:42:15,44.4271666666667,-125.638,stop
35,739492.202789352,28-Aug-2024 04:52:01,44.42535,-125.637816666667,start
35,739492.274143519,28-Aug-2024 06:34:46,44.4222,-125.639316666667,stop
36,739492.306828704,28-Aug-2024 07:21:50,44.4145,-125.638783333333,start
36,739492.531296296,28-Aug-2024 12:45:04,44.4191833333333,-125.669066666667,stop
37,739492.535509259,28-Aug-2024 12:51:08,44.4184833333333,-125.669783333333,start
37,739492.758240741,28-Aug-2024 18:11:52,44.4366,-125.692633333333,stop
38,739492.76244213,28-Aug-2024 18:17:55,44.4362,-125.691816666667,start
38,739492.97875,28-Aug-2024 23:29:24,44.44755,-125.721366666667,stop
39,739492.983275463,28-Aug-2024 23:35:55,44.4461,-125.722566666667,start
39,739493.20005787,29-Aug-2024 04:48:05,44.4366166666667,-125.752366666667,stop
40,739493.20005787,29-Aug-2024 04:48:05,44.4366166666667,-125.752366666667,start
40,739493.422511574,29-Aug-2024 10:08:25,44.4180666666667,-125.77955,stop
41,739493.422511574,29-Aug-2024 10:08:25,44.4180666666667,-125.77955,start
41,739493.64744213,29-Aug-2024 15:32:19,44.41085,-125.804933333333,stop
42,739493.64744213,29-Aug-2024 15:32:19,44.41085,-125.804933333333,start
42,739493.878043982,29-Aug-2024 21:04:23,44.4178166666667,-125.833283333333,stop
43,739493.878043982,29-Aug-2024 21:04:23,44.4178166666667,-125.833283333333,start
43,739494.103530093,30-Aug-2024 02:29:05,44.4120666666667,-125.855466666667,stop
44,739494.103530093,30-Aug-2024 02:29:05,44.4120666666667,-125.855466666667,start
44,739494.316203704,30-Aug-2024 07:35:20,44.41245,-125.888033333333,stop
45,739494.316203704,30-Aug-2024 07:35:20,44.41245,-125.888033333333,start
45,739494.536168981,30-Aug-2024 12:52:05,44.403,-125.9126,stop
46,739494.536168981,30-Aug-2024 12:52:05,44.403,-125.9126,start
46,739494.748333333,30-Aug-2024 17:57:36,44.40895,-125.940883333333,stop
47,739494.752511574,30-Aug-2024 18:03:37,44.4091166666667,-125.940733333333,start
47,739494.965960648,30-Aug-2024 23:10:59,44.4067166666667,-125.969983333333,stop
48,739494.965960648,30-Aug-2024 23:10:59,44.4067166666667,-125.969983333333,start
48,739495.182615741,31-Aug-2024 04:22:58,44.40355,-126.0067,stop
49,739495.187939815,31-Aug-2024 04:30:38,44.40385,-126.006683333333,start
49,739495.400451389,31-Aug-2024 09:36:39,44.4008666666667,-126.04355,stop
50,739495.400451389,31-Aug-2024 09:36:39,44.4008666666667,-126.04355,start
50,739495.627222222,31-Aug-2024 15:03:12,44.3791,-126.057266666667,stop
51,739495.627222222,31-Aug-2024 15:03:12,44.3791,-126.057266666667,start
51,739495.851388889,31-Aug-2024 20:26:00,44.40325,-126.094266666667,stop
52,739495.851388889,31-Aug-2024 20:26:00,44.40325,-126.094266666667,start
52,739496.063935185,01-Sep-2024 01:32:04,44.4029833333333,-126.124083333333,stop
53,739496.063935185,01-Sep-2024 01:32:04,44.4029833333333,-126.124083333333,start
53,739496.270891204,01-Sep-2024 06:30:05,44.39855,-126.1669,stop
54,739496.270891204,01-Sep-2024 06:30:05,44.39855,-126.1669,start
54,739496.472210648,01-Sep-2024 11:19:59,44.3755333333333,-126.2033,stop
55,739496.472210648,01-Sep-2024 11:19:59,44.3755333333333,-126.2033,start
55,739496.669837963,01-Sep-2024 16:04:34,44.3610333333333,-126.251333333333,stop
56,739496.669837963,01-Sep-2024 16:04:34,44.3610333333333,-126.251333333333,start
56,739496.870902778,01-Sep-2024 20:54:06,44.3639333333333,-126.309733333333,stop
57,739496.870902778,01-Sep-2024 20:54:06,44.3639333333333,-126.309733333333,start
57,739497.06787037,02-Sep-2024 01:37:44,44.34125,-126.35465,stop
58,739497.06787037,02-Sep-2024 01:37:44,44.34125,-126.35465,start
58,739497.268449074,02-Sep-2024 06:26:34,44.3365,-126.416116666667,stop
59,739497.268449074,02-Sep-2024 06:26:34,44.3365,-126.416116666667,start
59,739497.465451389,02-Sep-2024 11:10:15,44.3187833333333,-126.468533333333,stop
60,739497.465451389,02-Sep-2024 11:10:15,44.3187833333333,-126.468533333333,start
60,739497.664652778,02-Sep-2024 15:57:06,44.2963666666667,-126.528516666667,stop
61,739497.664652778,02-Sep-2024 15:57:06,44.2963666666667,-126.528516666667,start
61,739497.867430556,02-Sep-2024 20:49:06,44.30545,-126.589466666667,stop
62,739497.867430556,02-Sep-2024 20:49:06,44.30545,-126.589466666667,start
62,739497.867430556,02-Sep-2024 20:49:06,44.30545,-126.589466666667,stop
63,739497.867430556,02-Sep-2024 20:49:06,44.30545,-126.589466666667,start
63,739498.284074074,03-Sep-2024 06:49:04,44.2817333333333,-126.708766666667,stop
64,739498.284074074,03-Sep-2024 06:49:04,44.2817333333333,-126.708766666667,start
64,739498.494502315,03-Sep-2024 11:52:05,44.2780833333333,-126.781333333333,stop
65,739498.494502315,03-Sep-2024 11:52:05,44.2780833333333,-126.781333333333,start
65,739498.694490741,03-Sep-2024 16:40:04,44.2476833333333,-126.843783333333,stop
66,739498.694490741,03-Sep-2024 16:40:04,44.2476833333333,-126.843783333333,start
66,739498.89994213,03-Sep-2024 21:35:55,44.2430666666667,-126.914833333333,stop
67,739498.89994213,03-Sep-2024 21:35:55,44.2430666666667,-126.914833333333,start
67,739499.106886574,04-Sep-2024 02:33:55,44.2151,-126.972433333333,stop
68,739499.106886574,04-Sep-2024 02:33:55,44.2151,-126.972433333333,start
68,739499.106886574,04-Sep-2024 02:33:55,44.2151,-126.972433333333,stop
69,739499.106886574,04-Sep-2024 02:33:55,44.2151,-126.972433333333,start
69,739499.563622685,04-Sep-2024 13:31:37,44.1926833333333,-127.10575,stop
70,739499.567430556,04-Sep-2024 13:37:06,44.1922,-127.106683333333,start
70,739499.801747685,04-Sep-2024 19:14:31,44.1709833333333,-127.158483333333,stop
71,739499.805810185,04-Sep-2024 19:20:22,44.17095,-127.159166666667,start
71,739500.040474537,05-Sep-2024 00:58:17,44.1722333333333,-127.2217,stop
72,739500.046041667,05-Sep-2024 01:06:18,44.1723666666667,-127.22285,start
72,739500.262858796,05-Sep-2024 06:18:31,44.15935,-127.186733333333,stop
73,739500.267002315,05-Sep-2024 06:24:29,44.159,-127.187066666667,start
73,739500.479108796,05-Sep-2024 11:29:55,44.1622166666667,-127.261533333333,stop
74,739500.482881944,05-Sep-2024 11:35:21,44.1621,-127.262333333333,start
74,739500.700787037,05-Sep-2024 16:49:08,44.1392166666667,-127.323366666667,stop
75,739500.704664352,05-Sep-2024 16:54:43,44.1388833333333,-127.323133333333,start
75,739500.923020833,05-Sep-2024 22:09:09,44.1417833333333,-127.39885,stop
76,739500.927511574,05-Sep-2024 22:15:37,44.14135,-127.40035,start
76,739501.147152778,06-Sep-2024 03:31:54,44.1102666666667,-127.450516666667,stop
77,739501.151030093,06-Sep-2024 03:37:29,44.1099666666667,-127.450533333333,start
77,739501.365335648,06-Sep-2024 08:46:05,44.1082833333333,-127.519183333333,stop
78,739501.370335648,06-Sep-2024 08:53:17,44.1078,-127.520316666667,start
78,739501.587164352,06-Sep-2024 14:05:31,44.0829833333333,-127.571016666667,stop
79,739501.591018519,06-Sep-2024 14:11:04,44.0829,-127.570516666667,start
79,739501.812719907,06-Sep-2024 19:30:19,44.0755,-127.634716666667,stop
80,739501.816678241,06-Sep-2024 19:36:01,44.0744333333333,-127.635033333333,start
80,739502.058668982,07-Sep-2024 01:24:29,44.06885,-127.673766666667,stop
81,739502.064768519,07-Sep-2024 01:33:16,44.0686333333333,-127.67235,start
81,739502.285474537,07-Sep-2024 06:51:05,44.0466,-127.726083333333,stop
82,739502.289699074,07-Sep-2024 06:57:10,44.0452,-127.72635,start
82,739502.507685185,07-Sep-2024 12:11:04,44.0471333333333,-127.775716666667,stop
83,739502.511851852,07-Sep-2024 12:17:04,44.0466166666667,-127.77395,start
83,739502.730972222,07-Sep-2024 17:32:36,44.0256833333333,-127.825533333333,stop
84,739502.73505787,07-Sep-2024 17:38:29,44.0236,-127.824983333333,start
84,739502.95599537,07-Sep-2024 22:56:38,44.0137166666667,-127.859766666667,stop
85,739502.960289352,07-Sep-2024 23:02:49,44.0131833333333,-127.8587,start
85,739503.180127315,08-Sep-2024 04:19:23,44.0003333333333,-127.910516666667,stop
86,739503.184502315,08-Sep-2024 04:25:41,43.9984166666667,-127.910266666667,start
86,739503.396273148,08-Sep-2024 09:30:38,44.0047833333333,-127.960116666667,stop
87,739503.400555556,08-Sep-2024 09:36:48,44.00415,-127.9595,start
87,739503.594444444,08-Sep-2024 14:16:00,43.9976666666667,-128.00205,stop
88,739503.598530093,08-Sep-2024 14:21:53,43.9959666666667,-128.001733333333,start
