dive,time_UTC,dateTime_UTC,latitude,longitude,label
1,739509.857337963,14-Sep-2024 20:34:34,44.55325,-124.748583333333,start
1,739509.871053241,14-Sep-2024 20:54:19,44.55115,-124.752016666667,stop
2,739509.885706019,14-Sep-2024 21:15:25,44.5465666666667,-124.7548,start
2,739509.910775463,14-Sep-2024 21:51:31,44.5457333333333,-124.760466666667,stop
3,739509.923287037,14-Sep-2024 22:09:32,44.54305,-124.762716666667,start
3,739509.968460648,14-Sep-2024 23:14:35,44.5456166666667,-124.767333333333,stop
4,739509.972118056,14-Sep-2024 23:19:51,44.5451333333333,-124.768033333333,start
4,739510.029641204,15-Sep-2024 00:42:41,44.5492666666667,-124.77335,stop
5,739510.034502315,15-Sep-2024 00:49:41,44.5486333333333,-124.773633333333,start
5,739510.089583333,15-Sep-2024 02:09:00,44.5498666666667,-124.780583333333,stop
6,739510.092488426,15-Sep-2024 02:13:11,44.5494666666667,-124.780683333333,start
6,739510.144664352,15-Sep-2024 03:28:19,44.5527333333333,-124.78885,stop
7,739510.147060185,15-Sep-2024 03:31:46,44.55235,-124.7888,start
7,739510.20619213,15-Sep-2024 04:56:55,44.5538333333333,-124.804433333333,stop
8,739510.208888889,15-Sep-2024 05:00:48,44.55315,-124.8044,start
8,739510.2659375,15-Sep-2024 06:22:57,44.5576166666667,-124.818216666667,stop
9,739510.268761574,15-Sep-2024 06:27:01,44.5568666666667,-124.818283333333,start
9,739510.341400463,15-Sep-2024 08:11:37,44.5602,-124.8397,stop
10,739510.344155093,15-Sep-2024 08:15:35,44.55925,-124.839733333333,start
10,739510.425289352,15-Sep-2024 10:12:25,44.5631333333333,-124.859416666667,stop
11,739510.431030093,15-Sep-2024 10:20:41,44.56155,-124.8601,start
11,739510.520706019,15-Sep-2024 12:29:49,44.5682333333333,-124.879233333333,stop
12,739510.523622685,15-Sep-2024 12:34:01,44.5676666666667,-124.879166666667,start
12,739510.611678241,15-Sep-2024 14:40:49,44.5774166666667,-124.897433333333,stop
13,739510.6146875,15-Sep-2024 14:45:09,44.577,-124.897133333333,start
13,739510.753530093,15-Sep-2024 18:05:05,44.5830166666667,-124.9244,stop
14,739510.75693287,15-Sep-2024 18:09:59,44.5823166666667,-124.923883333333,start
14,739510.895497685,15-Sep-2024 21:29:31,44.5872,-124.957116666667,stop
15,739510.900173611,15-Sep-2024 21:36:15,44.5863333333333,-124.958233333333,start
15,739511.085081019,16-Sep-2024 02:02:31,44.5868333333333,-124.998416666667,stop
16,739511.088935185,16-Sep-2024 02:08:04,44.5868,-124.998233333333,start
16,739511.273078704,16-Sep-2024 06:33:14,44.5983333333333,-125.038583333333,stop
17,739511.276956019,16-Sep-2024 06:38:49,44.5977333333333,-125.039016666667,start
17,739511.460173611,16-Sep-2024 11:02:39,44.5871166666667,-125.085066666667,stop
18,739511.465393519,16-Sep-2024 11:10:10,44.5867666666667,-125.0861,start
18,739511.652476852,16-Sep-2024 15:39:34,44.6075333333333,-125.12105,stop
19,739511.656238426,16-Sep-2024 15:44:59,44.6078333333333,-125.1201,start
19,739511.835902778,16-Sep-2024 20:03:42,44.59055,-125.133816666667,stop
20,739511.840104167,16-Sep-2024 20:09:45,44.5898333333333,-125.133916666667,start
20,739512.027928241,17-Sep-2024 00:40:13,44.5949,-125.176516666667,stop
21,739512.031840278,17-Sep-2024 00:45:51,44.5951333333333,-125.177166666667,start
