HTI92WB,SN653007,fc=25 Hz,nominal -165dB
Freq [Hz],Sensitivity [dB],,
5,-174.7,,
6.3,-173.3,,
7.9,-171.8,,
10,-170.3,,
12.6,-169,,
15.9,-167.7,,
20,-166.7,,
25.2,-165.8,,
31.7,-165.2,,
40,-164.8,,
50.4,-164.4,,
63.5,-164.2,,
80,-164.1,,
100.8,-163.9,,
127,-163.9,,
160,-163.8,,
201.6,-163.8,,
254,-163.8,,
320,-163.8,,
403.2,-163.8,,
508,-163.8,,
640,-164.3,,
806.3,-163.7,,
1000,-164.1,,
2000,-164.1,,
3000,-162.5,,
4000,-162.6,,
5000,-163.4,,
6000,-163.7,,
7000,-164.3,,
8000,-167.5,,
9000,-168,,
10000,-168.3,,
20000,-165.5,,
30000,-162.5,,
40000,-160,,
50000,-159,,
60000,-160,,
70000,-163,,
80000,-167,,
90000,-169,,
100000,-170,,
