"","survey","eventId","numClicks","numClicks_d1","numClicks_d2","numClicks_d3","numClicks_d4","numClicks_d5","click_medPeakFreq_kHz","click_p25PeakFreq_kHz","click_p75PeakFreq_kHz","numWhistles","whistle_medBeginFreq_Hz","keep"
"1","sg639_CalCurCEAS_Sep2024","sg639_001",2,0,0,2,0,0,39.4,39.1,39.7,NA,NA,FALSE
"2","sg639_CalCurCEAS_Sep2024","sg639_002",23795,0,3269,19772,228,526,36.8,32.4,41.6,938,11962.890625,FALSE
"3","sg639_CalCurCEAS_Sep2024","sg639_005",2524,4,413,1979,28,100,39.6,34,43.2,12,5175.78125,FALSE
"4","sg639_CalCurCEAS_Sep2024","sg639_007",111,0,71,39,0,1,27.2,25.8,33.2,2,3515.625,FALSE
"5","sg639_CalCurCEAS_Sep2024","sg639_009",639,0,70,551,4,14,35.2,32,43.2,10,14404.296875,FALSE
"6","sg639_CalCurCEAS_Sep2024","sg639_010",264,19,43,191,0,11,37.4,32.7,38.8,39,17578.125,FALSE
"7","sg639_CalCurCEAS_Sep2024","sg639_011",14,0,5,9,0,0,31.6,28.1,35.6,NA,NA,FALSE
"8","sg639_CalCurCEAS_Sep2024","sg639_012",30,0,20,10,0,0,27.2,24.4,34,1,5566.40625,FALSE
"9","sg639_CalCurCEAS_Sep2024","sg639_013",143,0,0,141,1,1,46,44.8,46.8,NA,NA,FALSE
"10","sg639_CalCurCEAS_Sep2024","sg639_014",4682,2,955,3712,4,9,33.2,31.6,36.8,121,15625,FALSE
"11","sg639_CalCurCEAS_Sep2024","sg639_015",1930,1,531,1341,1,56,38,28.4,42.8,827,10839.84375,FALSE
"12","sg639_CalCurCEAS_Sep2024","sg639_018",4187,1,451,3639,54,42,34.4,31.6,40.8,5,9277.34375,FALSE
"13","sg639_CalCurCEAS_Sep2024","sg639_020",25903,0,4403,20657,478,365,35.6,31.2,40.8,67,12207.03125,FALSE
"14","sg639_CalCurCEAS_Sep2024","sg639_021",81376,28,21150,58052,847,1299,33.2,29.6,38.4,9423,11914.0625,FALSE
"15","sg639_CalCurCEAS_Sep2024","sg639_029",1735,14,462,1221,5,33,32.8,28.2,37.6,10923,12695.3125,FALSE
"16","sg639_CalCurCEAS_Sep2024","sg639_032",3331,7,259,3054,0,11,35.2,32,41.6,2313,12109.375,FALSE
"17","sg639_CalCurCEAS_Sep2024","sg639_033",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13183.59375,FALSE
"18","sg639_CalCurCEAS_Sep2024","sg639_035",70935,88,17757,50487,1018,1585,32.8,29.6,40,336,11621.09375,FALSE
"19","sg639_CalCurCEAS_Sep2024","sg639_043",10,0,3,7,0,0,32.2,29.8,32.7,NA,NA,FALSE
"20","sg639_CalCurCEAS_Sep2024","sg639_059",71,0,9,61,0,1,39.6,37,46,NA,NA,FALSE
"21","sg639_CalCurCEAS_Sep2024","sg639_060",1682,60,159,1404,1,58,37.6,32.4,43.2,18489,12304.6875,FALSE
"22","sg639_CalCurCEAS_Sep2024","sg639_068",4621,6,569,3535,78,433,38.4,33.6,45.6,82,11328.125,FALSE
"23","sg639_CalCurCEAS_Sep2024","sg639_072",23759,4,6791,16417,15,532,32.8,29.2,41.6,71,12304.6875,FALSE
"24","sg639_CalCurCEAS_Sep2024","sg639_074",37,0,1,36,0,0,33.6,32.4,36,61,9960.9375,FALSE
"25","sg639_CalCurCEAS_Sep2024","sg639_076",2286,0,1,1437,105,743,48.4,44.8,51.6,2,10937.5,FALSE
"26","sg639_CalCurCEAS_Sep2024","sg639_077",10,0,0,10,0,0,45.2,45.2,45.5,1,10644.53125,FALSE
"27","sg639_CalCurCEAS_Sep2024","sg639_078",273,0,48,220,0,5,34.8,30.4,39.6,199,12402.34375,FALSE
"28","sg639_CalCurCEAS_Sep2024","sg639_079",10729,0,2752,7614,107,256,37.2,29.6,42.8,2474,12402.34375,FALSE
"29","sg639_CalCurCEAS_Sep2024","sg639_080",106,0,7,70,5,24,43.6,36.8,47.2,NA,NA,FALSE
"30","sg639_CalCurCEAS_Sep2024","sg639_081",3372,0,308,3035,17,12,32.8,32,37.6,5,12792.96875,FALSE
"31","sg639_CalCurCEAS_Sep2024","sg639_082",124,0,41,83,0,0,30.8,28.8,32,21,10449.21875,FALSE
"32","sg639_CalCurCEAS_Sep2024","sg639_083",23807,1,5629,16944,495,738,34,30.4,40,296,11914.0625,FALSE
"33","sg639_CalCurCEAS_Sep2024","sg639_084",41087,3,8327,31754,118,885,34,30.8,40.4,9459,12011.71875,FALSE
"34","sg639_CalCurCEAS_Sep2024","sg639_086",671,1,31,623,0,16,37.6,35.2,44,103,12695.3125,FALSE
"35","sg639_CalCurCEAS_Sep2024","sg639_087",11546,0,3066,7436,192,852,38.8,29.2,44,78,14990.234375,FALSE
"36","sg639_CalCurCEAS_Sep2024","sg639_088",61965,13,11217,48546,757,1432,35.2,31.6,41.6,1482,13378.90625,FALSE
"37","sg639_CalCurCEAS_Sep2024","sg639_094",42,0,0,42,0,0,32.4,32,32.7,NA,NA,FALSE
"38","sg639_CalCurCEAS_Sep2024","sg639_095",29205,2,7372,21545,35,251,34.4,29.6,39.6,3024,11914.0625,FALSE
"39","sg639_CalCurCEAS_Sep2024","sg639_097",28300,0,9470,18701,15,114,32,28.8,37.6,289,12011.71875,FALSE
"40","sg639_CalCurCEAS_Sep2024","sg639_098",3689,0,679,3009,1,0,33.6,30.4,38.4,8,16210.9375,FALSE
"41","sg639_CalCurCEAS_Sep2024","sg639_099",7070,11,2614,4295,58,92,32,28,35.6,1505,11914.0625,FALSE
"42","sg639_CalCurCEAS_Sep2024","sg639_100",366,13,191,159,1,2,26.4,24.4,37.6,1204,12011.71875,FALSE
"43","sg639_CalCurCEAS_Sep2024","sg639_106",116203,18,18491,93651,1310,2733,36.4,32,42,2325,11914.0625,FALSE
"44","sg639_CalCurCEAS_Sep2024","sg639_114",33135,31,3488,29004,152,460,35.6,32.4,40.8,843,11816.40625,FALSE
"45","sg639_CalCurCEAS_Sep2024","sg639_116",48,0,7,41,0,0,38.2,36.3,39.6,NA,NA,FALSE
"46","sg639_CalCurCEAS_Sep2024","sg639_117",109399,31,35087,72419,493,1369,32.8,28.4,38.4,8877,11446.4393028846,FALSE
"47","sg639_CalCurCEAS_Sep2024","sg639_122",50482,8,16277,33400,343,454,33.2,29.2,39.2,1190,11718.75,FALSE
"48","sg639_CalCurCEAS_Sep2024","sg639_123",12276,1,4502,7217,210,346,34,27.6,42.4,120,12255.859375,FALSE
"49","sg639_CalCurCEAS_Sep2024","sg639_124",77,0,35,42,0,0,30.8,28,32.4,418,13183.59375,FALSE
"50","sg639_CalCurCEAS_Sep2024","sg639_128",470,8,405,57,0,0,23.2,22.4,27.6,207,9570.3125,FALSE
"51","sg639_CalCurCEAS_Sep2024","sg639_129",3917,14,1125,2651,18,109,33.6,28,40,3847,12109.375,FALSE
"52","sg639_CalCurCEAS_Sep2024","sg639_130",26714,6,15978,10208,215,307,28.8,26,34,332,13818.359375,FALSE
"53","sg639_CalCurCEAS_Sep2024","sg639_131",95805,42,38954,55205,605,999,31.6,27.2,37.6,9527,11914.0625,FALSE
"54","sg639_CalCurCEAS_Sep2024","sg639_134",11540,0,3337,8155,24,24,32.8,28.8,35.6,501,15527.34375,FALSE
"55","sg639_CalCurCEAS_Sep2024","sg639_135",NA,NA,NA,NA,NA,NA,NA,NA,NA,564,10253.90625,FALSE
"56","sg639_CalCurCEAS_Sep2024","sg639_136",201,6,44,120,6,25,38,30.4,46.4,54,15771.484375,FALSE
"57","sg639_CalCurCEAS_Sep2024","sg639_137",NA,NA,NA,NA,NA,NA,NA,NA,NA,708,11425.78125,FALSE
"58","sg639_CalCurCEAS_Sep2024","sg639_138",570,1,92,473,0,4,33.2,32,36.4,5172,12304.6875,FALSE
"59","sg639_CalCurCEAS_Sep2024","sg639_140",88,0,7,81,0,0,37.2,34.4,38.8,1,9179.6875,FALSE
"60","sg639_CalCurCEAS_Sep2024","sg639_142",54,0,0,37,1,16,48.8,48,50.4,NA,NA,FALSE
"61","sg639_CalCurCEAS_Sep2024","sg639_143",10726,13,1962,8459,83,209,35.6,31.2,42.4,28409,12402.34375,FALSE
"62","sg639_CalCurCEAS_Sep2024","sg639_147",6103,0,856,5229,6,12,33.2,31.2,37.6,352,10986.328125,FALSE
"63","sg639_CalCurCEAS_Sep2024","sg639_149",24574,38,7202,17132,135,67,32.4,28.8,37.2,941,12011.71875,FALSE
"64","sg639_CalCurCEAS_Sep2024","sg639_151",8334,0,1008,7261,3,62,33.6,31.6,38,6,6640.625,FALSE
"65","sg639_CalCurCEAS_Sep2024","sg639_153",618,0,192,414,8,4,31.2,28.8,37.5,1,11914.0625,FALSE
"66","sg639_CalCurCEAS_Sep2024","sg639_154",185,1,7,148,1,28,46,44.4,48.4,6,12744.140625,FALSE
"67","sg639_CalCurCEAS_Sep2024","sg639_155",182,0,13,169,0,0,35.6,33.6,38.4,98,13574.21875,FALSE
"68","sg639_CalCurCEAS_Sep2024","sg639_156",9,4,0,5,0,0,32.4,7.6,40,NA,NA,FALSE
"69","sg639_CalCurCEAS_Sep2024","sg639_157",616,0,119,488,0,9,38.8,34.4,43.2,146,12792.96875,FALSE
"70","sg639_CalCurCEAS_Sep2024","sg639_158",96,2,5,89,0,0,34.8,33.6,37.2,2,9570.3125,FALSE
"71","sg639_CalCurCEAS_Sep2024","sg639_159",10154,0,1199,8132,136,687,38,32.4,43.2,10,21875,FALSE
"72","sg639_CalCurCEAS_Sep2024","sg639_160",72,0,1,71,0,0,31.2,31.2,32.6,NA,NA,FALSE
"73","sg639_CalCurCEAS_Sep2024","sg639_161",24,0,15,9,0,0,26.6,25.2,32,2,17382.8125,FALSE
"74","sg639_CalCurCEAS_Sep2024","sg639_162",81,3,13,43,0,22,44,32.4,52.4,NA,NA,FALSE
"75","sg639_CalCurCEAS_Sep2024","sg639_163",195,1,81,113,0,0,30.8,28.4,32.8,NA,NA,FALSE
"76","sg639_CalCurCEAS_Sep2024","sg639_164",1525,0,325,1110,9,81,37.6,31.6,42.4,1,25585.9375,FALSE
"77","sg639_CalCurCEAS_Sep2024","sg639_165",24,24,0,0,0,0,8.6,6.6,9.6,NA,NA,FALSE
"78","sg639_CalCurCEAS_Sep2024","sg639_167",281,95,44,140,1,1,30.4,11.6,35.2,NA,NA,FALSE
"79","sg639_CalCurCEAS_Sep2024","sg639_170",79,1,9,69,0,0,37.2,33.2,37.6,3,7910.15625,FALSE
"80","sg639_CalCurCEAS_Sep2024","sg639_172",151,0,10,141,0,0,34.4,33.2,40.4,1,17285.15625,FALSE
"81","sg639_CalCurCEAS_Sep2024","sg639_173",2,0,0,2,0,0,41.4,40.7,42.1,NA,NA,FALSE
"82","sg639_CalCurCEAS_Sep2024","sg639_174",398,0,17,369,2,10,40,38,42,1,9472.65625,FALSE
"83","sg639_CalCurCEAS_Sep2024","sg639_177",7,0,1,6,0,0,30.4,30.4,30.8,NA,NA,FALSE
"84","sg639_CalCurCEAS_Sep2024","sg639_178",102,0,35,61,0,6,35.8,28,39.2,NA,NA,FALSE
"85","sg639_CalCurCEAS_Sep2024","sg639_179",54,2,12,40,0,0,33.2,30.2,33.6,NA,NA,FALSE
"86","sg639_CalCurCEAS_Sep2024","sg639_180",1251,1214,1,27,0,9,8.8,8,10,53,15527.34375,FALSE
"87","sg639_CalCurCEAS_Sep2024","sg639_189",9499,1065,1536,6024,84,790,38,28.4,43.6,16,20654.296875,FALSE
"88","sg639_CalCurCEAS_Sep2024","sg639_192",3313,2295,294,692,3,29,10.4,9.2,25.2,NA,NA,FALSE
